COUNT,mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID
6613,3227.294,4284.678,4063.4741,16.790001,32,41,A055
6614,3228.8132,4283.0409,4061.4712,11.5,32,41,A055
6615,3230.3246,4281.4122,4059.4554,0.916667,32,41,A055
6616,3231.828,4279.7921,4057.4268,0.795,32,41,A055
6617,3233.3234,4278.1806,4055.3856,2.63,32,41,A055
6618,3234.6872,4276.7109,4053.5034,3.052,32,41,A055
6622,3240.1225,4270.8536,4045.7992,17.162666,32,41,A055
6623,3241.5722,4269.2913,4043.6879,80.606667,32,41,A055
6624,3243.0137,4267.738,4041.5644,31.836668,32,41,A055
6625,3244.4468,4266.1936,4039.4287,14.135,32,41,A055
6626,3245.8715,4264.6583,4037.2809,20.185001,32,41,A055
6627,3247.1598,4263.2699,4035.3218,15.261225,32,41,A055
7047,3545.6895,4691.2254,4151.6176,54.259998,32,41,A060
7048,3547.0413,4689.7548,4149.3793,37.267998,32,41,A060
7049,3548.3937,4688.2835,4147.1419,39.549999,32,41,A060
7052,3552.9515,4683.3252,4139.6151,117.317642,32,41,A060
7164,3822.7913,4814.4253,4199.8413,10.946667,31,41,A062
7173,3833.4343,4803.2334,4177.6951,11.14,31,41,A062
7174,3834.6317,4801.9742,4175.2496,11.42,31,41,A062
7175,3835.8321,4800.7119,4172.8071,8.66,31,41,A062
7176,3837.0355,4799.4465,4170.3678,12.72,31,41,A062
7177,3838.2419,4798.1779,4167.9315,14,31,41,A062
7195,3859.7859,4775.5228,4125.8821,7.366667,31,42,A062
7196,3861.0462,4774.1975,4123.5041,3.433333,31,42,A062
7197,3862.3093,4772.8692,4121.1292,8.56,31,42,A062
7198,3863.8712,4771.2268,4118.2047,6.009091,31,42,A062
7200,3866.5832,4768.3749,4113.1577,6.4,31,42,A062
7201,3867.859,4767.0334,4110.797,10.653334,31,42,A062
7202,3869.1376,4765.6888,4108.4396,9.68,31,42,A062
7203,3870.419,4764.3413,4106.0855,38.299999,31,42,A062
7204,3871.7033,4762.9907,4103.7346,24.863333,31,42,A062
7205,3872.9905,4761.6372,4101.387,32.373333,31,42,A062
7206,3874.2805,4760.2807,4099.0427,11.95,31,42,A062
7207,3875.5734,4758.9211,4096.7018,5.475,31,42,A062
7208,3876.8691,4757.5586,4094.3641,7.45,31,42,A062
7209,3878.1676,4756.1931,4092.0297,13.533333,31,42,A062
7210,3879.469,4754.8246,4089.6987,17.233334,31,42,A062
7211,3880.7949,4753.4303,4087.3322,17.358065,31,42,A062
7212,3882.1238,4752.0329,4084.9692,4.61,32,42,A062
7213,3883.7398,4750.3336,4082.1072,3.529546,32,42,A062
7214,3885.4696,4748.5146,4079.0574,5.362857,31,42,A062
7215,3886.8941,4747.0165,4076.5496,25.116667,32,42,A062
7216,3888.2091,4745.6337,4074.2348,22.226667,32,42,A062
7217,3889.283,4744.5044,4072.3443,22,32,42,A062
7663,4229.1498,5117.0512,4009.1449,11.82,31,42,A066
7664,4230.6797,5115.4295,4007.1375,9.266666,31,42,A066
7665,4232.49,5113.5104,4004.7621,9.943902,31,42,A066
7760,4165.2479,5060.8272,4199.6936,5.053333,31,42,A067
7761,4166.8651,5059.2925,4197.6862,12.42,31,42,A067
7762,4168.5901,5057.6556,4195.545,16.147058,31,42,A067
7765,4173.8998,5052.6169,4188.9541,7.4,31,42,A067
8060,3580.88,4787.66,4130.86,89.199997,31,41,A070
8061,3580.88,4787.66,4127.86,102.699997,31,41,A070
8062,3580.88,4787.66,4124.86,35.424999,31,41,A070
8063,3580.88,4787.66,4121.86,18.483334,31,41,A070
8064,3580.88,4787.66,4118.86,11.49,31,41,A070
8065,3580.88,4787.66,4115.86,16.92,31,41,A070
8066,3580.88,4787.66,4112.86,14.57,31,41,A070
8067,3580.88,4787.66,4109.86,37.626667,31,41,A070
8068,3580.88,4787.66,4106.86,26,31,41,A070
8069,3580.88,4787.66,4103.86,17.416666,31,41,A070
8070,3580.88,4787.66,4100.86,23.126667,31,41,A070
8071,3580.88,4787.66,4097.86,12.943333,31,41,A070
8072,3580.88,4787.66,4094.86,17.496666,31,41,A070
8073,3580.88,4787.66,4091.86,7.146667,31,41,A070
8074,3580.88,4787.66,4088.86,18.493334,31,41,A070
8075,3580.88,4787.66,4085.86,36.52,31,41,A070
8076,3580.88,4787.66,4082.86,59.946667,31,41,A070
8077,3580.88,4787.66,4079.86,99.150002,31,41,A070
8078,3580.88,4787.66,4076.86,95.083328,31,41,A070
8079,3580.88,4787.66,4073.86,41.046665,31,41,A070
8080,3580.88,4787.66,4070.86,68.916672,31,41,A070
8081,3580.88,4787.66,4067.86,65.006668,31,41,A070
8082,3580.88,4787.66,4065.41,50.900002,31,41,A070
8084,3580.88,4787.66,4059.96,60.013336,31,41,A070
8085,3580.88,4787.66,4056.96,87.980003,31,41,A070
8086,3580.88,4787.66,4053.96,92.946663,31,41,A070
8087,3580.88,4787.66,4050.96,75.606667,31,41,A070
8088,3580.88,4787.66,4047.96,61.98,31,41,A070
8089,3580.88,4787.66,4044.96,59.52,31,41,A070
8090,3580.88,4787.66,4041.96,91.726662,31,41,A070
8091,3580.88,4787.66,4038.96,86.473335,31,41,A070
8092,3580.88,4787.66,4035.96,78.313339,31,41,A070
8093,3580.88,4787.66,4032.96,70.713333,31,41,A070
8094,3580.88,4787.66,4029.96,90.153336,31,41,A070
8095,3580.88,4787.66,4026.96,93.300003,31,41,A070
8096,3580.88,4787.66,4023.96,42.166668,31,41,A070
8097,3580.88,4787.66,4020.96,17.295,31,41,A070
8098,3580.88,4787.66,4017.36,9.733334,31,41,A070
8100,3580.88,4787.66,4013.16,17.200001,31,41,A070
8101,3580.88,4787.66,4010.16,13.903334,31,41,A070
8102,3580.88,4787.66,4007.16,10.81,31,41,A070
8103,3580.88,4787.66,4004.16,6.915,31,41,A070
8104,3580.88,4787.66,4001.16,43.200001,31,41,A070
8211,3545.9861,4691.6468,4172.5329,51.799999,32,41,A071
8223,3570.8534,4665.8239,4172.6643,23.086666,32,41,A071
9335,3724.84,4797.7,4199.19,59.150002,32,41,A080
9336,3724.84,4797.7,4196.19,95.25,32,41,A080
9337,3724.84,4797.7,4193.19,89.433334,32,41,A080
9338,3724.84,4797.7,4190.19,81.933334,32,41,A080
9339,3724.84,4797.7,4187.19,116.683334,32,41,A080
9340,3724.84,4797.7,4184.19,83.341667,32,41,A080
9341,3724.84,4797.7,4181.19,12.083333,32,41,A080
9342,3724.84,4797.7,4178.84,12.2,32,41,A080
9346,3724.84,4797.7,4168.59,45.460003,31,41,A080
9347,3724.84,4797.7,4165.59,56.900002,31,41,A080
9348,3724.84,4797.7,4162.59,86.876671,31,41,A080
9349,3724.84,4797.7,4159.59,111.986671,31,41,A080
9350,3724.84,4797.7,4156.59,61.200001,31,41,A080
9351,3724.84,4797.7,4153.59,10.086667,31,41,A080
9352,3724.84,4797.7,4150.59,14.653333,31,41,A080
9353,3724.84,4797.7,4147.59,37.353333,31,41,A080
9354,3724.84,4797.7,4144.59,42.366669,31,41,A080
9355,3724.84,4797.7,4141.59,18.833334,31,41,A080
9356,3724.84,4797.7,4138.59,15.316668,31,41,A080
9357,3724.84,4797.7,4135.59,15.32,31,41,A080
9358,3724.84,4797.7,4132.59,16.063334,31,41,A080
9359,3724.84,4797.7,4129.19,8.613158,31,41,A080
10112,4188.2239,4832.6823,4198.5493,38.289997,32,42,A086
10113,4189.9585,4831.1494,4196.641,58.266666,32,42,A086
10114,4191.693,4829.6164,4194.7328,47.459999,32,42,A086
10212,3992.1772,4783.7252,4108.0868,7.056667,31,42,A087
10213,3993.6381,4782.0883,4106.0408,14.43,31,42,A087
10214,3995.0991,4780.4514,4103.9948,12.593334,31,42,A087
10215,3996.5601,4778.8145,4101.9488,7.936666,31,42,A087
10216,3998.1428,4777.0412,4099.7323,16.005714,31,42,A087
10217,3999.7256,4775.2679,4097.5158,30.200001,32,42,A087
10218,4001.1866,4773.631,4095.4698,21.060001,32,42,A087
10219,4002.6483,4771.9933,4093.425,11.9,32,42,A087
10220,4004.1114,4770.354,4091.3824,21.6,32,42,A087
10221,4005.5759,4768.7131,4089.3422,16.516666,32,42,A087
10222,4007.0419,4767.0707,4087.3043,16.773333,32,42,A087
10223,4008.5093,4765.4266,4085.2686,23.156668,32,42,A087
10224,4009.7332,4764.0553,4083.574,7.68,32,42,A087
10225,4010.9581,4762.6829,4081.881,3.666667,32,42,A087
10226,4012.4293,4761.0346,4079.8516,11.8,32,42,A087
10227,4013.9018,4759.3848,4077.8244,6.97,32,42,A087
10228,4015.6708,4757.4028,4075.3949,4.521429,32,42,A087
11214,3598.4355,4768.2305,4154.7748,40.843182,32,41,A095
11216,3600.0613,4766.4268,4148.103,66.910004,32,41,A095
11217,3600.6338,4765.7916,4145.7537,48.829998,32,41,A095
11219,3601.7558,4764.5468,4141.1492,75.395882,32,41,A095
11227,3607.3807,4758.3063,4118.0283,36.799999,32,41,A095
11228,3608.0609,4757.5517,4115.2056,47.900002,32,41,A095
11229,3608.7391,4756.7993,4112.3817,67.400002,32,41,A095
11230,3609.4152,4756.0491,4109.5568,75.699997,32,41,A095
11231,3610.0894,4755.3012,4106.7309,65.099998,32,41,A095
11232,3610.616,4754.7169,4104.5164,59.900002,32,41,A095
11256,3626.3585,4737.2515,4037.656,67.353333,32,41,A095
11623,4009.6645,4834.416,4138.5374,18.186487,31,42,A098
11624,4011.2409,4832.5526,4136.2428,17.66,32,42,A098
11625,4012.6577,4830.8778,4134.1964,15.256667,32,42,A098
11626,4014.0794,4829.1972,4132.1581,17.766666,32,42,A098
11627,4015.5058,4827.511,4130.1279,21.799999,32,42,A098
11628,4016.9371,4825.8192,4128.1057,26.969999,32,42,A098
11629,4018.6129,4823.8382,4125.7569,27.705,32,42,A098
11739,4025.2386,4931.1521,4052.9237,10.9,31,42,A099
11740,4026.8552,4929.7138,4050.8458,4.6,31,42,A099
11741,4028.4718,4928.2754,4048.7678,4.18,31,42,A099
11742,4030.304,4926.6454,4046.4128,7.447369,31,42,A099
13053,3712.3343,4828.414,4199.2943,5.233333,31,41,A1015
13054,3710.8993,4829.8006,4197.0543,8.433333,31,41,A1015
13055,3709.4662,4831.1875,4194.813,21.049999,31,41,A1015
13056,3708.0339,4832.5723,4192.5701,35.549999,31,41,A1015
13057,3706.5979,4833.9511,4190.3258,28.833334,31,41,A1015
13058,3705.1734,4835.3377,4188.079,45.349998,31,41,A1015
13059,3703.7528,4836.7279,4185.8319,33.599998,31,41,A1015
13060,3702.335,4838.1172,4183.5825,21.6,31,41,A1015
13061,3700.9207,4839.5082,4181.3321,19.700001,31,41,A1015
13062,3699.5095,4840.8988,4179.0793,16.049999,31,41,A1015
13063,3698.0954,4842.2861,4176.8264,12.533334,31,41,A1015
13064,3696.6843,4843.6741,4174.572,13.516666,31,41,A1015
13065,3695.2787,4845.0623,4172.3143,12,31,41,A1015
13066,3693.8741,4846.4498,4170.0555,13.866667,31,41,A1015
13067,3692.469,4847.8376,4167.7973,20.799999,31,41,A1015
13068,3691.0639,4849.226,4165.5394,20.85,31,41,A1015
13069,3689.6589,4850.6153,4163.282,19.6,31,41,A1015
13070,3688.2557,4852.0054,4161.024,22.166666,31,41,A1015
13071,3687.1329,4853.115,4159.2163,21,31,41,A1015
13072,3686.0101,4854.2272,4157.41,23,31,41,A1015
13073,3684.6062,4855.6173,4155.1525,13.283334,31,41,A1015
13074,3683.2023,4857.0087,4152.8957,16.066668,31,41,A1015
13075,3681.7981,4858.4014,4150.6399,24.683332,31,41,A1015
13076,3680.3885,4859.7902,4148.385,27.049999,31,41,A1015
13465,4115.8019,5060.329,4187.7248,4.180555,31,42,A1020
13467,4118.951,5057.0679,4183.2072,6.5,31,42,A1020
13468,4120.4272,5055.5393,4181.0896,8.55,31,42,A1020
