ID,BHID,X,Y,Z,CODE,ZONE,VALUE,CAPVAL1,CAPPED1,CAPVAL2,CAPPED2,CAPVAL3,CAPPED3,CAPVAL4,CAPPED4,CAPVAL5,CAPPED5,CAPVAL6,CAPPED6,AvgSin,PROP_12,Num_Data
   4275,A036        ,   4075.59,   5005.10,   4139.43,      31, 42.0,    5.79333,    5.79333,    0,    5.79333,    0,    5.79333,    0,    5.79333,    0,    5.79333,    0,    5.79333,    0,    6.9469,    .350,   21
   4276,A036        ,   4075.59,   5005.10,   4136.43,      31, 42.0,    3.97333,    3.97333,    0,    3.97333,    0,    3.97333,    0,    3.97333,    0,    3.97333,    0,    3.97333,    0,    6.6540,    .339,   21
   4277,A036        ,   4075.59,   5005.10,   4133.43,      31, 42.0,    5.30000,    5.30000,    0,    5.30000,    0,    5.30000,    0,    5.30000,    0,    5.30000,    0,    5.30000,    0,    6.0306,    .333,   21
   4278,A036        ,   4075.59,   5005.10,   4130.43,      31, 42.0,   11.05000,   11.05000,    0,   11.05000,    0,   11.05000,    0,   11.05000,    0,   11.05000,    0,   11.05000,    0,    6.0306,    .328,   21
   4279,A036        ,   4075.59,   5005.10,   4127.43,      31, 42.0,    7.10000,    7.10000,    0,    7.10000,    0,    7.10000,    0,    7.10000,    0,    7.10000,    0,    7.10000,    0,    5.2872,    .328,   21
   4280,A036        ,   4075.59,   5005.10,   4124.43,      31, 42.0,    6.76667,    6.76667,    0,    6.76667,    0,    6.76667,    0,    6.76667,    0,    6.76667,    0,    6.76667,    0,    5.2779,    .328,   21
   4281,A036        ,   4075.59,   5005.10,   4121.43,      31, 42.0,    9.43167,    9.43167,    0,    9.43167,    0,    9.43167,    0,    9.43167,    0,    9.43167,    0,    9.43167,    0,    5.0292,    .328,   21
   4282,A036        ,   4075.59,   5005.10,   4118.43,      31, 42.0,    6.16167,    6.16167,    0,    6.16167,    0,    6.16167,    0,    6.16167,    0,    6.16167,    0,    6.16167,    0,    4.7610,    .333,   21
   4283,A036        ,   4075.59,   5005.10,   4115.83,      31, 42.0,    5.82500,    5.82500,    0,    5.82500,    0,    5.82500,    0,    5.82500,    0,    5.82500,    0,    5.82500,    0,    4.5914,    .339,   21
   4284,A036        ,   4075.59,   5005.10,   4113.53,      31, 42.0,    4.60000,    4.60000,    0,    4.60000,    0,    4.60000,    0,    4.60000,    0,    4.60000,    0,    4.60000,    0,    4.4876,    .344,   21
   4285,A036        ,   4075.59,   5005.10,   4110.83,      31, 42.0,    8.20000,    8.20000,    0,    8.20000,    0,    8.20000,    0,    8.20000,    0,    8.20000,    0,    8.20000,    0,    4.4581,    .344,   21
   4286,A036        ,   4075.59,   5005.10,   4107.83,      31, 42.0,   10.96000,   10.96000,    0,   10.96000,    0,   10.96000,    0,   10.96000,    0,   10.96000,    0,   10.96000,    0,    4.4791,    .344,   21
   4287,A036        ,   4075.59,   5005.10,   4104.83,      31, 42.0,    4.44000,    4.44000,    0,    4.44000,    0,    4.44000,    0,    4.44000,    0,    4.44000,    0,    4.44000,    0,    3.8724,    .350,   21
   4288,A036        ,   4075.59,   5005.10,   4101.83,      31, 42.0,    5.45000,    5.45000,    0,    5.45000,    0,    5.45000,    0,    5.45000,    0,    5.45000,    0,    5.45000,    0,    3.8724,    .350,   21
   4289,A036        ,   4075.59,   5005.10,   4098.58,      31, 42.0,    5.15714,    5.15714,    0,    5.15714,    0,    5.15714,    0,    5.15714,    0,    5.15714,    0,    5.15714,    0,    3.9645,    .350,   21
   4290,A036        ,   4075.59,   5005.10,   4095.33,      31, 42.0,    4.74000,    4.74000,    0,    4.74000,    0,    4.74000,    0,    4.74000,    0,    4.74000,    0,    4.74000,    0,    3.9748,    .333,   21
   6459,A054A       ,   4009.24,   4936.77,   4189.62,      31, 42.0,    5.00000,    5.00000,    0,    5.00000,    0,    5.00000,    0,    5.00000,    0,    5.00000,    0,    5.00000,    0,   15.4679,    .840,   21
   6460,A054A       ,   4010.75,   4935.43,   4187.40,      31, 42.0,    9.10000,    9.10000,    0,    9.10000,    0,    9.10000,    0,    9.10000,    0,    9.10000,    0,    9.10000,    0,   15.4679,    .778,   21
   6461,A054A       ,   4012.26,   4934.09,   4185.18,      31, 42.0,    9.20000,    9.20000,    0,    9.20000,    0,    9.20000,    0,    9.20000,    0,    9.20000,    0,    9.20000,    0,   15.4679,    .724,   21
   6462,A054A       ,   4013.77,   4932.75,   4182.97,      31, 42.0,    7.90000,    7.90000,    0,    7.90000,    0,    7.90000,    0,    7.90000,    0,    7.90000,    0,    7.90000,    0,   15.2857,    .700,   21
   6463,A054A       ,   4015.28,   4931.40,   4180.75,      31, 42.0,    6.80000,    6.80000,    0,    6.80000,    0,    6.80000,    0,    6.80000,    0,    6.80000,    0,    6.80000,    0,   15.1309,    .913,   21
   6464,A054A       ,   4016.49,   4930.33,   4178.98,      31, 42.0,    9.20000,    9.20000,    0,    9.20000,    0,    9.20000,    0,    9.20000,    0,    9.20000,    0,    9.20000,    0,   14.6000,    .913,   21
   6472,A054A       ,   4025.38,   4922.42,   4166.01,      31, 42.0,    5.01000,    5.01000,    0,    5.01000,    0,    5.01000,    0,    5.01000,    0,    5.01000,    0,    5.01000,    0,   12.8043,   1.000,   21
   6473,A054A       ,   4026.90,   4921.07,   4163.80,      31, 42.0,    4.20000,    4.20000,    0,    4.20000,    0,    4.20000,    0,    4.20000,    0,    4.20000,    0,    4.20000,    0,   14.2421,    .500,   21
   6474,A054A       ,   4028.41,   4919.72,   4161.59,      31, 42.0,   12.03000,   12.03000,    0,   12.03000,    0,   12.03000,    0,   12.03000,    0,   12.03000,    0,   12.03000,    0,   15.5908,    .500,   21
   6475,A054A       ,   4029.78,   4918.51,   4159.61,      31, 42.0,   10.36250,   10.36250,    0,   10.36250,    0,   10.36250,    0,   10.36250,    0,   10.36250,    0,   10.36250,    0,   17.0827,    .477,   21
   6476,A054A       ,   4031.18,   4917.27,   4157.59,      32, 42.0,   14.84194,   14.84194,    0,   14.84194,    0,   14.84194,    0,   14.84194,    0,   14.84194,    0,   14.84194,    0,   33.7729,    .656,   21
   6477,A054A       ,   4032.72,   4915.89,   4155.35,      32, 42.0,   13.20000,   13.20000,    0,   13.20000,    0,   13.20000,    0,   13.20000,    0,   13.20000,    0,   13.20000,    0,   32.0364,    .636,   21
   6478,A054A       ,   4033.86,   4914.88,   4153.70,      32, 42.0,   16.30000,   16.30000,    0,   16.30000,    0,   16.30000,    0,   16.30000,    0,   16.30000,    0,   16.30000,    0,   34.7058,    .618,   21
   6479,A054A       ,   4035.01,   4913.86,   4152.04,      31, 42.0,   14.15000,   14.15000,    0,   14.15000,    0,   14.15000,    0,   14.15000,    0,   14.15000,    0,   14.15000,    0,   17.7182,    .512,   21
   6480,A054A       ,   4036.53,   4912.51,   4149.84,      31, 42.0,   19.35000,   19.35000,    0,   19.35000,    0,   19.35000,    0,   19.35000,    0,   19.35000,    0,   19.35000,    0,   18.8895,    .538,   21
   6481,A054A       ,   4038.06,   4911.15,   4147.64,      31, 42.0,   27.95000,   27.95000,    0,   27.95000,    0,   27.95000,    0,   27.95000,    0,   27.95000,    0,   27.95000,    0,   19.7097,    .538,   21
   6482,A054A       ,   4039.58,   4909.80,   4145.44,      31, 42.0,   20.80000,   20.80000,    0,   20.80000,    0,   20.80000,    0,   20.80000,    0,   20.80000,    0,   20.80000,    0,   19.6880,    .778,   21
   6483,A054A       ,   4041.11,   4908.44,   4143.25,      31, 42.0,   15.45000,   15.45000,    0,   15.45000,    0,   15.45000,    0,   15.45000,    0,   15.45000,    0,   15.45000,    0,   20.1166,    .808,   21
   6484,A054A       ,   4042.63,   4907.08,   4141.05,      31, 42.0,   16.65000,   16.65000,    0,   16.65000,    0,   16.65000,    0,   16.65000,    0,   16.65000,    0,   16.65000,    0,   20.9776,    .875,   21
   6485,A054A       ,   4044.16,   4905.72,   4138.86,      31, 42.0,   13.45000,   13.45000,    0,   13.45000,    0,   13.45000,    0,   13.45000,    0,   13.45000,    0,   13.45000,    0,   20.1253,    .955,   21
   6486,A054A       ,   4045.69,   4904.36,   4136.66,      31, 42.0,   19.80000,   19.80000,    0,   19.80000,    0,   19.80000,    0,   19.80000,    0,   19.80000,    0,   19.80000,    0,   20.5031,   1.000,   21
   6487,A054A       ,   4047.22,   4903.01,   4134.46,      31, 42.0,   24.05000,   24.05000,    0,   24.05000,    0,   24.05000,    0,   24.05000,    0,   24.05000,    0,   24.05000,    0,   21.0067,    .344,   21
   6488,A054A       ,   4048.74,   4901.66,   4132.26,      31, 42.0,   17.65000,   17.65000,    0,   17.65000,    0,   17.65000,    0,   17.65000,    0,   17.65000,    0,   17.65000,    0,   21.0067,    .362,   21
   6489,A054A       ,   4050.25,   4900.31,   4130.04,      31, 42.0,   16.95000,   16.95000,    0,   16.95000,    0,   16.95000,    0,   16.95000,    0,   16.95000,    0,   16.95000,    0,   21.0067,    .382,   21
   6490,A054A       ,   4051.76,   4898.97,   4127.83,      31, 42.0,   15.25000,   15.25000,    0,   15.25000,    0,   15.25000,    0,   15.25000,    0,   15.25000,    0,   15.25000,    0,   20.9869,    .404,   21
   6491,A054A       ,   4053.39,   4897.52,   4125.42,      31, 42.0,   14.61429,   14.61429,    0,   14.61429,    0,   14.61429,    0,   14.61429,    0,   14.61429,    0,   14.61429,    0,   18.9805,    .525,   21
   6583,A055        ,   3180.68,   4334.92,   4121.81,      32, 41.0,     .34833,     .34833,    0,     .34833,    0,     .34833,    0,     .34833,    0,     .34833,    0,     .34833,    0,   24.8056,    .000,   21
   6584,A055        ,   3182.24,   4333.23,   4119.87,      32, 41.0,     .15000,     .15000,    0,     .15000,    0,     .15000,    0,     .15000,    0,     .15000,    0,     .15000,    0,   24.8056,    .000,   21
   6585,A055        ,   3183.64,   4331.72,   4118.13,      32, 41.0,     .74375,     .74375,    0,     .74375,    0,     .74375,    0,     .74375,    0,     .74375,    0,     .74375,    0,   24.8056,    .000,   21
   6586,A055        ,   3185.36,   4329.87,   4116.01,      31, 41.0,     .82857,     .82857,    0,     .82857,    0,     .82857,    0,     .82857,    0,     .82857,    0,     .82857,    0,   13.7859,    .095,   21
   6587,A055        ,   3187.25,   4327.83,   4113.65,      31, 41.0,    2.00000,    2.00000,    0,    2.00000,    0,    2.00000,    0,    2.00000,    0,    2.00000,    0,    2.00000,    0,   13.7859,    .095,   21
   6588,A055        ,   3188.84,   4326.12,   4111.68,      31, 41.0,   10.20000,   10.20000,    0,   10.20000,    0,   10.20000,    0,   10.20000,    0,   10.20000,    0,   10.20000,    0,   13.7859,    .095,   21
   6589,A055        ,   3190.40,   4324.44,   4109.75,      31, 41.0,    7.30000,    7.30000,    0,    7.30000,    0,    7.30000,    0,    7.30000,    0,    7.30000,    0,    7.30000,    0,   13.7859,    .095,   21
   6590,A055        ,   3191.77,   4322.95,   4108.04,      31, 41.0,   35.70869,   35.70869,    0,   35.70869,    0,   35.70869,    0,   35.70869,    0,   35.70869,    0,   35.70869,    0,   13.7859,    .143,   21
   6591,A055        ,   3193.15,   4321.47,   4106.33,      32, 41.0,   11.04000,   11.04000,    0,   11.04000,    0,   11.04000,    0,   11.04000,    0,   11.04000,    0,   11.04000,    0,   24.8056,    .000,   21
   6592,A055        ,   3194.71,   4319.79,   4104.39,      32, 41.0,   28.06000,   28.06000,    0,   28.06000,    0,   28.06000,    0,   28.06000,    0,   28.06000,    0,   28.06000,    0,   24.8056,    .000,   21
   6593,A055        ,   3196.27,   4318.11,   4102.45,      32, 41.0,   22.67000,   22.67000,    0,   22.67000,    0,   22.67000,    0,   22.67000,    0,   22.67000,    0,   22.67000,    0,   24.8056,    .000,   21
   6594,A055        ,   3197.82,   4316.44,   4100.51,      32, 41.0,    7.30000,    7.30000,    0,    7.30000,    0,    7.30000,    0,    7.30000,    0,    7.30000,    0,    7.30000,    0,   24.8056,    .000,   21
   6595,A055        ,   3199.38,   4314.76,   4098.57,      32, 41.0,   19.93333,   19.93333,    0,   19.93333,    0,   19.93333,    0,   19.93333,    0,   19.93333,    0,   19.93333,    0,   24.8056,    .000,   21
   6596,A055        ,   3200.94,   4313.08,   4096.63,      32, 41.0,   12.21333,   12.21333,    0,   12.21333,    0,   12.21333,    0,   12.21333,    0,   12.21333,    0,   12.21333,    0,   24.8056,    .000,   21
   6597,A055        ,   3202.49,   4311.40,   4094.69,      32, 41.0,    1.82333,    1.82333,    0,    1.82333,    0,    1.82333,    0,    1.82333,    0,    1.82333,    0,    1.82333,    0,   24.8056,    .048,   21
   6598,A055        ,   3204.05,   4309.73,   4092.75,      32, 41.0,    7.50000,    7.50000,    0,    7.50000,    0,    7.50000,    0,    7.50000,    0,    7.50000,    0,    7.50000,    0,   24.8056,    .095,   21
   6599,A055        ,   3205.60,   4308.05,   4090.81,      32, 41.0,    9.60000,    9.60000,    0,    9.60000,    0,    9.60000,    0,    9.60000,    0,    9.60000,    0,    9.60000,    0,   24.8056,    .143,   21
   6600,A055        ,   3207.16,   4306.38,   4088.87,      32, 41.0,   10.58000,   10.58000,    0,   10.58000,    0,   10.58000,    0,   10.58000,    0,   10.58000,    0,   10.58000,    0,   24.8056,    .143,   21
   6601,A055        ,   3208.71,   4304.70,   4086.92,      32, 41.0,   19.03000,   19.03000,    0,   19.03000,    0,   19.03000,    0,   19.03000,    0,   19.03000,    0,   19.03000,    0,   24.8056,    .143,   21
   6602,A055        ,   3210.27,   4303.02,   4084.98,      32, 41.0,   20.90000,   20.90000,    0,   20.90000,    0,   20.90000,    0,   20.90000,    0,   20.90000,    0,   20.90000,    0,   24.8056,    .143,   21
   6603,A055        ,   3211.82,   4301.35,   4083.04,      32, 41.0,   14.95333,   14.95333,    0,   14.95333,    0,   14.95333,    0,   14.95333,    0,   14.95333,    0,   14.95333,    0,   24.8056,    .143,   21
   6604,A055        ,   3213.38,   4299.68,   4081.09,      32, 41.0,    9.30000,    9.30000,    0,    9.30000,    0,    9.30000,    0,    9.30000,    0,    9.30000,    0,    9.30000,    0,   24.8056,    .238,   21
   6605,A055        ,   3214.93,   4298.00,   4079.14,      32, 41.0,   11.65000,   11.65000,    0,   11.65000,    0,   11.65000,    0,   11.65000,    0,   11.65000,    0,   11.65000,    0,   24.8056,    .333,   21
   6606,A055        ,   3216.48,   4296.33,   4077.20,      32, 41.0,   88.40500,   79.37804,    1,   88.40500,    0,   88.40500,    0,   88.40500,    0,   88.40500,    0,   88.40500,    0,   24.8056,    .476,   21
   6607,A055        ,   3218.04,   4294.66,   4075.25,      32, 41.0,   48.40000,   48.40000,    0,   48.40000,    0,   48.40000,    0,   48.40000,    0,   48.40000,    0,   48.40000,    0,   24.8056,    .571,   21
   6608,A055        ,   3219.59,   4292.98,   4073.30,      32, 41.0,   49.07000,   49.07000,    0,   49.07000,    0,   49.07000,    0,   49.07000,    0,   49.07000,    0,   49.07000,    0,   24.8056,    .667,   21
