,COUNT,mid_x,mid_y,mid_z,Ag_ppm_BESTEL,NBKRT,AG_SUBZONAS,HOLEID,CAPVAL1_PY,CAPPED1_PY,CAPVAL2_PY,CAPPED2_PY,CAPVAL3_PY,CAPPED3_PY,CAPVAL4_PY,CAPPED4_PY,CAPVAL5_PY,CAPPED5_PY,CAPVAL6_PY,CAPPED6_PY,AvgSin_PY,PROP_12_PY,Num_Data_PY,EXPAN_PY,EVALUADO_PY
34,4281,4075.59,5005.1,4121.43,9.431666,31,42,A036,9.431666,0,9.431666,0,9.431666,0,9.431666,0,9.431666,0,9.431666,0,0.0,0.0,0,0,0
35,4282,4075.59,5005.1,4118.43,6.161667,31,42,A036,6.161667,0,6.161667,0,6.161667,0,6.161667,0,6.161667,0,6.161667,0,0.0,0.0,0,0,0
36,4283,4075.59,5005.1,4115.83,5.825,31,42,A036,5.825,0,5.825,0,5.825,0,5.825,0,5.825,0,5.825,0,0.0,0.0,0,0,0
37,4284,4075.59,5005.1,4113.53,4.6,31,42,A036,4.6,0,4.6,0,4.6,0,4.6,0,4.6,0,4.6,0,0.0,0.0,0,0,0
38,4285,4075.59,5005.1,4110.83,8.2,31,42,A036,8.2,0,8.2,0,8.2,0,8.2,0,8.2,0,8.2,0,0.0,0.0,0,0,0
39,4286,4075.59,5005.1,4107.83,10.96,31,42,A036,10.96,0,10.96,0,10.96,0,10.96,0,10.96,0,10.96,0,0.0,0.0,0,0,0
40,4287,4075.59,5005.1,4104.83,4.44,31,42,A036,4.44,0,4.44,0,4.44,0,4.44,0,4.44,0,4.44,0,0.0,0.0,0,0,0
41,4288,4075.59,5005.1,4101.83,5.45,31,42,A036,5.45,0,5.45,0,5.45,0,5.45,0,5.45,0,5.45,0,0.0,0.0,0,0,0
42,4289,4075.59,5005.1,4098.58,5.157143,31,42,A036,5.157143,0,5.157143,0,5.157143,0,5.157143,0,5.157143,0,5.157143,0,0.0,0.0,0,0,0
43,4290,4075.59,5005.1,4095.33,4.74,31,42,A036,4.74,0,4.74,0,4.74,0,4.74,0,4.74,0,4.74,0,0.0,0.0,0,0,0
44,6459,4009.2366,4936.7751,4189.6191,5.0,31,42,A054A,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,0.0,0.0,0,0,0
45,6460,4010.7456,4935.4335,4187.4003,9.1,31,42,A054A,9.1,0,9.1,0,9.1,0,9.1,0,9.1,0,9.1,0,0.0,0.0,0,0,0
46,6461,4012.2555,4934.0911,4185.1826,9.2,31,42,A054A,9.2,0,9.2,0,9.2,0,9.2,0,9.2,0,9.2,0,0.0,0.0,0,0,0
