;COUNT;VALUE;CAPVAL1;CAPPED1;CAPVAL1_PY;CAPPED1_PY;VAR;CAPVAL2;CAPPED2;CAPVAL2_PY;CAPPED2_PY;VAR;CAPVAL3;CAPPED3;CAPVAL3_PY;CAPPED3_PY;VAR;CAPVAL4;CAPPED4;CAPVAL4_PY;CAPPED4_PY;CAPVAL5;CAPPED5;CAPVAL5_PY;CAPPED5_PY;CAPVAL6;CAPPED6;CAPVAL6_PY;CAPPED6_PY;AvgSin;AvgSin_PY;PROP_12;PROP_12_PY;Num_Data;Num_Data_PY
23;119370;34.6;30.47467;1;33.54393452;1;10%;34.6;0;33.27991865;1;-4%;34.6;0;34.599998;0;0%;34.6;0;34.599998;0;34.6;0;34.599998;0;34.6;0;34.599998;0;9.5233;10.56063481;0.808;0.156015143;21;21
24;147374;27.8;20.27896;1;27.14115287;1;34%;23.7644;1;26.97644133;1;14%;27.24985;1;26.8117298;1;-2%;27.8;0;26.64701827;1;27.8;0;27.799999;0;27.8;0;27.799999;0;6.3372;6.588461333;0.636;0.200928473;21;21
25;155807;93;58.23121;1;90.49517614;1;55%;68.2397;1;89.86897018;1;32%;78.24819;1;89.24276421;1;12%;88.25668;1;93;0;93;0;93;0;93;0;93;0;18.1973;25.04823857;0.058;0.176801711;21;21
26;155809;121.0244;56.00879;1;118.3861177;1;111%;65.6353;1;117.7265493;1;79%;75.26181;1;117.066981;1;36%;84.88832;1;116.4074127;1;94.51483;1;115.7478443;1;104.1413;1;121.024391;0;17.5027;26.38273338;0.063;0.218440832;21;21
27;160769;44.46154;38.82413;1;43.25670501;1;11%;44.46154;0;42.95549627;1;-3%;44.46154;0;42.65428752;1;-4%;44.46154;0;44.46154;0;44.46154;0;44.46154;0;44.46154;0;44.46154;0;12.1325;12.04834986;0.283;0.175726653;21;21
28;166977;28;28;0;27.19609061;1;-3%;28;0;26.99511326;1;-4%;28;0;28;0;0%;28;0;28;0;28;0;28;0;28;0;28;0;9.7418;8.039093905;0.447;0.165856171;21;21
29;167519;28;28;0;27.2215808;1;-3%;28;0;27.026976;1;-3%;28;0;28;0;0%;28;0;28;0;28;0;28;0;28;0;28;0;9.2086;7.784192;0.538;0.171287313;21;21
30;167985;79.3;79.3;0;77.60982842;1;-2%;79.3;0;77.18728477;1;-3%;79.3;0;76.76474113;1;-3%;79.3;0;76.34219748;1;79.3;0;75.91965384;1;79.3;0;75.49711019;1;31.4493;16.90174581;0;0.223420152;21;21
31;167987;62.7561;62.7561;0;60.67820559;1;-3%;62.7561;0;62.756096;0;0%;62.7561;0;62.756096;0;0%;62.7561;0;62.756096;0;62.7561;0;62.756096;0;62.7561;0;62.756096;0;31.4493;20.77890414;0;0.143818245;21;21
32;168118;38.37429;27.69997;1;37.42566642;1;35%;32.4609;1;37.18851128;1;15%;37.22184;1;36.95135614;1;-1%;38.37429;0;36.71420099;1;38.37429;0;38.374287;0;38.37429;0;38.374287;0;8.6562;9.486205762;0.808;0.192632022;21;21
33;170694;51.86666;51.86666;0;50.90859674;1;-2%;51.86666;0;50.66907968;1;-2%;51.86666;0;50.42956261;1;-3%;51.86666;0;50.19004555;1;51.86666;0;49.95052849;1;51.86666;0;49.71101142;1;22.5261;9.580682571;0.553;0.257793865;21;21
34;170695;70;70;0;69.03589999;1;-1%;70;0;68.79487499;1;-2%;70;0;68.55384999;1;-2%;70;0;68.31282498;1;70;0;68.07179998;1;70;0;67.83077498;1;24.6111;9.641000095;0.538;0.345745597;21;21
35;170696;43.86666;43.86666;0;43.01634278;1;-2%;43.86666;0;42.80376222;1;-2%;43.86666;0;42.59118166;1;-3%;43.86666;0;42.37860111;1;43.86666;0;42.16602055;1;43.86666;0;41.95344;1;24.873;8.503222238;0.553;0.245658499;21;21
36;170697;36.33333;36.33333;0;35.42749754;1;-2%;36.33333;0;35.20103893;1;-3%;36.33333;0;34.97458031;1;-4%;36.33333;0;34.7481217;1;36.33333;0;36.333332;0;36.33333;0;36.333332;0;23.8293;9.058344571;0.568;0.19100164;21;21
37;170698;23.4;23.4;0;22.60999602;1;-3%;23.4;0;23.4;0;0%;23.4;0;23.4;0;0%;23.4;0;23.4;0;23.4;0;23.4;0;23.4;0;23.4;0;20.4303;7.900039762;0.583;0.141048115;21;21
38;170699;48.4;48.4;0;47.28483929;1;-2%;48.4;0;47.00604861;1;-3%;48.4;0;46.72725793;1;-4%;48.4;0;46.44846725;1;48.4;0;46.16967657;1;48.4;0;48.400002;0;19.17;11.15162714;0.6;0.206674952;21;21
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;x;z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
